MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,2006-02-14 22:04:36,1,1913 Hanoi Way,Sasebo
PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,2006-02-14 22:04:36,1,1121 Loja Avenue,San Bernardino
LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,2006-02-14 22:04:36,1,692 Joliet Street,Athenai
BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,2006-02-14 22:04:36,2,1566 Inegl Manor,Myingyan
ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,1,2006-02-14 22:04:36,1,53 Idfu Parkway,Nantou
JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,1,2006-02-14 22:04:36,2,1795 Santiago de Compostela Way,Laredo
MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,1,2006-02-14 22:04:36,1,900 Santiago de Compostela Parkway,Kragujevac
SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,1,2006-02-14 22:04:36,2,478 Joliet Way,Hamilton
MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,1,2006-02-14 22:04:36,2,613 Korolev Drive,Masqat
DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,1,2006-02-14 22:04:36,1,1531 Sal Drive,Esfahan
LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,1,2006-02-14 22:04:36,2,1542 Tarlac Parkway,Sagamihara
NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,1,2006-02-14 22:04:36,1,808 Bhopal Manor,Yamuna Nagar
KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,1,2006-02-14 22:04:36,2,270 Amroha Parkway,Osmaniye
BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,1,2006-02-14 22:04:36,2,770 Bydgoszcz Avenue,Citrus Heights
HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,1,2006-02-14 22:04:36,1,419 Iligan Lane,Bhopal
SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,0,2006-02-14 22:04:36,2,360 Toulouse Parkway,Southend-on-Sea
DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,1,2006-02-14 22:04:36,1,270 Toulon Boulevard,Elista
CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,1,2006-02-14 22:04:36,2,320 Brest Avenue,Kaduna
RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,1,2006-02-14 22:04:36,1,1417 Lancaster Avenue,Kimberley
SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,1,2006-02-14 22:04:36,2,1688 Okara Way,Mardan
MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,1,2006-02-14 22:04:36,1,262 A Corua (La Corua) Parkway,Tangail
LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,1,2006-02-14 22:04:36,1,28 Charlotte Amalie Street,Sal
SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,1,2006-02-14 22:04:36,2,1780 Hino Boulevard,Liepaja
KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,1,2006-02-14 22:04:36,2,96 Tafuna Way,Crdoba
DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,1,2006-02-14 22:04:36,1,934 San Felipe de Puerto Plata Street,Shikarpur
JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,1,2006-02-14 22:04:36,2,18 Duisburg Boulevard,Citt del Vaticano
SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,1,2006-02-14 22:04:36,2,217 Botshabelo Place,Davao
CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,1,2006-02-14 22:04:36,1,1425 Shikarpur Manor,Munger (Monghyr)
ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,1,2006-02-14 22:04:36,2,786 Aurora Avenue,Shimonoseki
MELISSA,KING,MELISSA.KING@sakilacustomer.org,1,2006-02-14 22:04:36,1,1668 Anpolis Street,Lungtan
BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,1,2006-02-14 22:04:36,2,33 Gorontalo Way,Kamarhati
AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,1,2006-02-14 22:04:36,1,176 Mandaluyong Place,Jhansi
ANNA,HILL,ANNA.HILL@sakilacustomer.org,1,2006-02-14 22:04:36,2,127 Purnea (Purnia) Manor,Alessandria
