"11433","2005-08-02 20:13:10","2005-08-11 21:35:10","GABRIEL","HARDER","Mike","ACADEMY DINOSAUR","1"
"14714","2005-08-21 21:27:43","2005-08-30 22:26:43","DIANNE","SHELTON","Mike","ACADEMY DINOSAUR","1"
"972","2005-05-30 20:21:07","2005-06-06 00:36:07","NORMAN","CURRIER","Mike","ACADEMY DINOSAUR","1"
"4187","2005-07-07 10:41:31","2005-07-11 06:25:31","GERALDINE","PERKINS","Mike","ACADEMY DINOSAUR","1"
"9449","2005-07-30 22:02:34","2005-08-06 02:09:34","VIRGIL","WOFFORD","Mike","ACADEMY DINOSAUR","1"
"15453","2005-08-23 01:01:01","2005-08-30 20:08:01","WILLIE","MARKHAM","Mike","ACADEMY DINOSAUR","1"
"10126","2005-07-31 21:36:07","2005-08-03 23:59:07","DEBRA","NELSON","Mike","ACADEMY DINOSAUR","1"
"10883","2005-08-02 00:47:19","2005-08-03 00:02:19","ROBERT","BAUGHMAN","Mike","ACADEMY DINOSAUR","1"
"14624","2005-08-21 18:32:42","2005-08-23 21:09:42","HENRY","BILLINGSLEY","Mike","ACADEMY DINOSAUR","1"
"6493","2005-07-12 02:40:41","2005-07-16 04:56:41","VIVIAN","RUIZ","Mike","AFFAIR PREJUDICE","1"
"2090","2005-06-17 18:06:14","2005-06-22 23:52:14","SUE","PETERS","Mike","AFFAIR PREJUDICE","1"
"11714","2005-08-17 07:34:55","2005-08-18 04:07:55","MEGAN","PALMER","Mike","AFFAIR PREJUDICE","1"
"8331","2005-07-29 04:13:29","2005-08-04 07:09:29","ELEANOR","HUNT","Mike","AFFAIR PREJUDICE","1"
"15199","2005-08-22 16:17:49","2005-08-25 20:12:49","NATALIE","MEYER","Mike","AFFAIR PREJUDICE","1"
"3506","2005-07-06 00:22:29","2005-07-07 22:15:29","TOMMY","COLLAZO","Mike","AFFAIR PREJUDICE","1"
"9863","2005-07-31 13:05:29","2005-08-08 12:33:29","MINNIE","ROMERO","Mike","AFFAIR PREJUDICE","1"
"3391","2005-06-21 15:11:02","2005-06-25 14:12:02","JANET","PHILLIPS","Mike","AGENT TRUMAN","1"
"8353","2005-07-29 04:52:10","2005-07-30 04:01:10","PERRY","SWAFFORD","Mike","AGENT TRUMAN","1"
"12764","2005-08-18 23:14:15","2005-08-22 20:23:15","IDA","ANDREWS","Mike","AGENT TRUMAN","1"
"2965","2005-06-20 07:33:38","2005-06-29 11:45:38","CATHERINE","CAMPBELL","Mike","AGENT TRUMAN","1"
"3567","2005-07-06 03:09:36","2005-07-12 02:15:36","TERRY","GRISSOM","Mike","AGENT TRUMAN","1"
"10526","2005-08-01 11:55:33","2005-08-08 16:42:33","BETTY","WHITE","Mike","AGENT TRUMAN","1"
"11084","2005-08-02 07:34:19","2005-08-07 09:30:19","FRED","WHEAT","Mike","AIRPLANE SIERRA","1"
"14942","2005-08-22 05:58:27","2005-08-31 10:08:27","DEAN","SAUER","Mike","AIRPLANE SIERRA","1"
"10205","2005-08-01 00:48:24","2005-08-06 23:53:24","WANDA","PATTERSON","Mike","AIRPLANE SIERRA","1"
"5745","2005-07-10 12:10:11","2005-07-19 06:56:11","RICHARD","MCCRARY","Mike","ALABAMA DEVIL","1"
"10036","2005-07-31 18:47:20","2005-08-03 22:53:20","RICK","MATTOX","Mike","ALABAMA DEVIL","1"
"15776","2005-08-23 13:26:01","2005-08-29 18:17:01","FRANKLIN","TROUTMAN","Mike","ALABAMA DEVIL","1"
"1948","2005-06-17 08:06:53","2005-06-21 05:00:53","JULIA","FLORES","Mike","ALADDIN CALENDAR","1"
"6703","2005-07-12 12:50:19","2005-07-16 13:41:19","GORDON","ALLARD","Mike","ALADDIN CALENDAR","1"
"7174","2005-07-27 08:00:36","2005-08-01 03:11:36","IVAN","CROMWELL","Mike","ALADDIN CALENDAR","1"
"13109","2005-08-19 11:23:20","2005-08-25 17:05:20","LENA","JENSEN","Mike","ALADDIN CALENDAR","1"
"10696","2005-08-01 18:18:13","2005-08-04 14:09:13","SYLVIA","ORTIZ","Mike","ALADDIN CALENDAR","1"
"13345","2005-08-19 20:25:24","2005-08-27 20:38:24","DORIS","REED","Mike","ALADDIN CALENDAR","1"
"10210","2005-08-01 00:58:52","2005-08-10 01:16:52","CLARENCE","GAMEZ","Mike","ALADDIN CALENDAR","1"
"563","2005-05-28 09:10:49","2005-06-06 11:32:49","GARY","COY","Mike","ALAMO VIDEOTAPE","1"
"2517","2005-06-19 00:11:26","2005-06-25 02:19:26","DENISE","KELLY","Mike","ALAMO VIDEOTAPE","1"
"5418","2005-07-09 20:41:35","2005-07-14 00:15:35","GRACE","ELLIS","Mike","ALAMO VIDEOTAPE","1"
"4027","2005-07-07 02:19:01","2005-07-10 01:12:01","VICTORIA","GIBSON","Mike","ALAMO VIDEOTAPE","1"
"11254","2005-08-02 13:43:49","2005-08-08 13:16:49","KENNETH","GOODEN","Mike","ALAMO VIDEOTAPE","1"
"14887","2005-08-22 04:04:31","2005-08-31 02:30:31","LEE","HAWKS","Mike","ALAMO VIDEOTAPE","1"
"6936","2005-07-26 23:13:34","2005-07-30 19:14:34","TED","BREAUX","Mike","ALASKA PHANTOM","1"
"13625","2005-08-20 06:52:03","2005-08-27 07:43:03","MELVIN","ELLINGTON","Mike","ALASKA PHANTOM","1"
"15232","2005-08-22 17:37:02","2005-08-25 18:45:02","ELIZABETH","BROWN","Mike","ALASKA PHANTOM","1"
"827","2005-05-29 21:58:43","2005-06-06 00:54:43","BYRON","BOX","Mike","ALASKA PHANTOM","1"
"13110","2005-08-19 11:24:37","2005-08-21 05:48:37","CLIFFORD","BOWENS","Mike","ALASKA PHANTOM","1"
"505","2005-05-28 02:06:37","2005-05-29 06:57:37","CARMEN","OWENS","Mike","ALIEN CENTER","1"
"2074","2005-06-17 16:40:03","2005-06-20 21:34:03","CHARLIE","BESS","Mike","ALIEN CENTER","1"
"4443","2005-07-07 23:05:53","2005-07-16 01:46:53","ALAN","KAHN","Mike","ALIEN CENTER","1"
"14976","2005-08-22 07:10:26","2005-08-28 07:22:26","VIRGIL","WOFFORD","Mike","ALLEY EVOLUTION","1"
"5382","2005-07-09 19:12:57","2005-07-14 15:44:57","KIRK","STCLAIR","Mike","ALLEY EVOLUTION","1"
"10890","2005-08-02 00:58:46","2005-08-10 02:13:46","ELLA","OLIVER","Mike","ALLEY EVOLUTION","1"
